,jmeno,prijimeni,telefonni_cislo,cislo_zamestnance,mesto,plat
4,Jindřich,Howell,+421 39 043 0948,10,Plzeň,
5,Alexander,Martinez,721 195 689,13,Plzeň,
20,Marcel,Hájek,+421 902 928 669,35,Praha,
28,Karolína,Short,721 589 083,53,Praha,
29,Michelle,Vlčková,+421 41 720 7806,54,Praha,
32,John,Bailey,775 021 116,58,Praha,
33,William,Shelton,+421 47 745 8219,60,Praha,
34,Miroslava,Veselá,774 029 254,62,Praha,
37,Nathan,Svoboda,728 710 923,66,Praha,
40,Robert,Říha,727 351 984,72,Praha,
48,Jennifer,Brown,775 545 190,86,Liberec,
50,Robert,Macias,+421 49 929 6856,88,Liberec,
55,Ivan,Bartoš,603 226 051,99,Liberec,
